2,  4,  3,  7,  5,  6,  5,  6,  8,  9,  3,  6,  1,  9,  8,  7,  3,  3,  9,  5
3,  5,  3, 10,  9,  1,  9,  8,  3,  1,  6,  0,  7, 10,  8,  5,  2,  7,  7,  1
1, 10,  4,  9,  6,  9,  0,  2,  3,  1,  8,  6,  8,  4,  2,  9,  2,  9,  5,  0
6,  3,  0,  8,  3,  7,  7,  2,  6,  8,  7,  3,  4,  1,  5,  9,  1,  0,  2, 10
4,  3,  6,  7,  4,  5,  2,  6,  9,  4,  3,  9,  9,  4,  5,  7,  2, 10,  9,  4
2,  3,  8, 10,  4,  5,  9,  5,  4,  7, 10,  1,  8,  4,  3,  9,  6,  3,  6,  7
9,  9,  1, 10,  9,  9,  5,  9,  6,  3,  9,  5,  1, 10,  7, 10,  2,  8,  8,  1
8,  8,  7,  8,  6,  7,  7,  8,  6,  7,  8,  6,  7,  6,  8,  8,  7,  6,  8,  8
6,  7,  8,  9, 10,  9,  2,  2,  6,  1, 10,  9,  6,  3,  9,  5,  9,  8,  1,  1
7,  8,  7,  8,  6, 10, 10,  6,  8, 10,  8,  9,  8,  8,  5, 10,  8,  7,  8,  7
