0.23	484
0.31	942
0.2	345
1.02	4459
1.63	14022
1.14	4212
2.01	11925
1.28	9548
1.7	11605
1.01	4642
0.64	3541
0.97	4504
1.78	13691
3.4	15964
3.01	10453
1.51	11560
1.37	7979
1.5	9533
0.54	1723
0.72	3344
1.13	6133
2.24	13827
3.01	16538
4.5	18531
0.92	3625
1.05	7879
0.55	1319
0.74	2761
0.91	3620
1.23	6165
1.52	10640
0.91	4138
0.43	1094
1.24	11130
1.77	14561
1.79	10108
2.05	12654
2.03	16280
2.01	13498
1	4586
0.9	3105
1.01	7745
1.14	5047
1.53	10830
0.34	765
0.41	827
0.75	3120
1.07	5220
1.34	7427
1.75	9890









